Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0.00,1.00,0
Cash and Short Term Investments,2.84,0.82,1.70,4.01,8.08
"Accounts Receivable - Trade, Net",0.70,1.20,1.13,1.15,2.79
"Total Receivables, Net",0.70,1.20,1.13,1.15,3.04
Prepaid Expenses,0.20,1.02,3.07,1.00,0.37
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,3.77,3.17,6.03,6.21,12.05
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",31.41,44.88,48.68,69.46,113.48
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,1.37
Long Term Investments,0,0,0,0,0
Total Assets,35.18,48.06,54.77,75.67,126.90
Accounts Payable,0,0,0,0,1.78
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",0.13,0.11,0.82,0.33,1.05
Total Current Liabilities,2.43,14.61,19.44,5.96,17.83
Total Long Term Debt,12.07,11.35,0.03,15.17,33.36
Total Debt,12.07,15.94,16.01,17.91,37.84
Deferred Income Tax,0.56,0.66,1.57,2.95,3.12
"Other Liabilities, Total",0,0,0,0,7.88
Total Liabilities,15.06,26.61,21.04,24.48,62.16
"Common Stock, Total",10.80,10.80,30.12,46.29,55.36
Retained Earnings (Accumulated Deficit),9.09,10.37,3.34,4.90,9.38
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.24,0.28,0.28,0.00,0
Total Equity,20.12,21.45,33.73,51.20,64.74
Total Liabilities & Shareholders' Equity,35.18,48.06,54.77,75.67,126.90
Total Common Shares Outstanding,107.29,107.29,107.29,134.23,147.65
"Tangible Book Value per Share, Common Eq",0.19,0.20,0.31,0.38,0.43
