Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,31 Mar 2017,31 Mar 2018,31 Mar 2019,30 Sep 2020
Source,ARS,ARS,ARS,Interim Report,ARS
Cash,10.01,25.93,25.46,29.88,46.42
Short Term Investments,46.99,37.12,41.10,50.85,0.00
Cash and Short Term Investments,57.00,63.05,66.56,80.73,46.42
"Accounts Receivable - Trade, Net",26.40,34.75,25.00,31.99,35.20
"Total Receivables, Net",43.33,43.70,50.53,85.78,114.47
Prepaid Expenses,12.50,5.83,6.26,1.01,1.16
"Other Current Assets, Total",10.38,18.39,54.27,61.89,98.04
Total Current Assets,269.80,351.37,476.73,524.75,584.15
"Property/Plant/Equipment, Total - Gross",30.85,48.84,67.86,85.84,225.09
"Accumulated Depreciation, Total",-5.33,-10.88,-15.87,-20.77,-42.66
"Property/Plant/Equipment, Total - Net",25.52,37.96,51.99,65.07,182.43
"Goodwill, Net",0,0,0.00,8.03,8.79
"Intangibles, Net",22.69,21.41,19.95,20.22,17.20
Long Term Investments,175.89,198.48,295.10,412.48,379.16
Total Assets,706.29,831.87,1031.71,1201.88,1342.12
Accounts Payable,24.06,58.97,58.00,25.03,9.01
Accrued Expenses,13.03,21.11,18.68,14.73,18.30
Notes Payable/Short Term Debt,0.00,0.00,0.00,116.16,77.20
"Other Current liabilities, Total",27.34,34.47,34.60,40.52,64.63
Total Current Liabilities,108.08,144.96,182.40,196.43,172.67
Total Long Term Debt,49.80,133.74,143.17,259.00,337.63
Total Debt,93.45,164.15,214.29,375.16,418.36
Deferred Income Tax,0,0,0.53,1.41,1.46
"Other Liabilities, Total",0,0,42.05,43.45,36.42
Total Liabilities,207.77,337.25,493.80,647.37,742.81
"Common Stock, Total",439.39,440.50,483.18,513.72,624.89
Retained Earnings (Accumulated Deficit),79.48,92.78,32.98,65.88,-39.45
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0.49,-0.54,-0.26,0,0
"Other Equity, Total",-20.83,-38.12,22.02,-25.09,13.86
Total Equity,498.53,494.62,537.91,554.51,599.31
Total Liabilities & Shareholders' Equity,706.29,831.87,1031.71,1201.88,1342.12
Total Common Shares Outstanding,1734.82,1737.69,1893.58,1895.82,2237.47
"Tangible Book Value per Share, Common Eq",0.27,0.27,0.27,0.28,0.26
