Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,Interim Report,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,150.56,107.02,86.80,94.24,100.07
"Accounts Receivable - Trade, Net",124.69,157.50,152.85,194.31,176.00
"Total Receivables, Net",130.84,159.76,156.43,200.04,186.02
Prepaid Expenses,4.16,4.60,4.11,3.44,2.24
"Other Current Assets, Total",3.38,3.20,3.05,35.14,20.50
Total Current Assets,289.57,274.86,250.76,333.19,309.27
"Property/Plant/Equipment, Total - Gross",196.96,198.29,203.99,217.78,251.12
"Accumulated Depreciation, Total",-102.90,-114.57,-126.30,-133.14,-137.94
"Property/Plant/Equipment, Total - Net",94.05,83.72,77.69,84.64,113.19
"Goodwill, Net",1.56,1.56,1.56,1.56,0.00
"Intangibles, Net",0.42,0.23,0.10,0.08,0.06
Long Term Investments,12.46,12.34,11.95,10.89,11.23
Total Assets,400.07,375.95,346.24,435.34,436.19
Accounts Payable,31.14,27.01,17.67,27.44,26.29
Accrued Expenses,62.03,52.94,62.94,0,0
Notes Payable/Short Term Debt,5.71,0.66,0.71,0.00,0.00
"Other Current liabilities, Total",54.33,50.85,15.31,146.22,150.35
Total Current Liabilities,156.15,131.59,96.68,185.84,192.93
Total Long Term Debt,9.49,8.71,7.72,6.77,23.63
Total Debt,18.14,9.50,8.49,18.95,39.91
Deferred Income Tax,0.76,0.43,0.52,0.52,0.52
"Other Liabilities, Total",1.36,1.36,1.24,1.24,2.77
Total Liabilities,180.68,149.35,115.08,203.86,223.40
"Common Stock, Total",58.48,58.48,58.84,58.84,58.84
Retained Earnings (Accumulated Deficit),162.62,170.81,172.03,174.30,153.79
Treasury Stock - Common,-0.82,-0.21,-0.12,-0.44,-0.58
Unrealised Gain (Loss),0.00,-0.01,-0.01,-0.01,-0.01
"Other Equity, Total",-0.88,-2.46,0.42,-1.21,0.75
Total Equity,219.39,226.60,231.16,231.48,212.79
Total Liabilities & Shareholders' Equity,400.07,375.95,346.24,435.34,436.19
Total Common Shares Outstanding,253.13,254.62,255.71,254.97,254.64
"Tangible Book Value per Share, Common Eq",0.86,0.88,0.90,0.90,0.84
