Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,27.97,15.29,13.41,12.93,-7.99
Depreciation/Depletion,15.58,14.78,12.61,11.92,15.01
Non-Cash Items,-4.03,-2.95,4.42,-2.52,35.96
Cash Taxes Paid,3.84,4.59,3.16,2.59,4.03
Changes in Working Capital,16.69,-52.97,-37.64,-0.13,-6.66
Cash from Operating Activities,56.36,-25.72,-7.06,22.28,36.35
Capital Expenditures,-11.81,-4.88,-6.91,-19.55,-18.09
"Other Investing Cash Flow Items, Total",13.51,0.15,0.90,1.73,1.27
Cash from Investing Activities,1.70,-4.73,-6.01,-17.82,-16.82
Total Cash Dividends Paid,-2.54,-7.59,-6.37,-5.09,-5.10
"Issuance (Retirement) of Stock, Net",-0.82,0.00,-0.12,-0.95,-0.13
Cash from Financing Activities,-17.45,-14.98,-7.56,3.38,-14.64
Foreign Exchange Effects,-3.04,1.89,0.34,-1.19,1.82
Net Change in Cash,37.56,-43.54,-20.29,6.64,6.70
