Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,575.08,418.58,330.81,392.72,495.07
Total Revenue,575.08,418.58,330.81,392.72,495.07
"Selling/General/Admin. Expenses, Total",30.57,27.85,34.17,29.80,44.91
Depreciation/Amortisation,0,0,12.75,12.00,15.03
Unusual Expense (Income),-9.16,-0.44,-2.14,-0.65,0.88
"Other Operating Expenses, Total",57.21,42.26,26.95,32.92,32.00
Total Operating Expense,546.46,403.26,317.47,379.58,502.51
Operating Income,28.62,15.32,13.33,13.15,-7.45
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.25,0.22,0.08,-0.22,-0.55
"Other, Net",-0.39,-0.25,0,0,0
Net Income Before Taxes,27.97,15.29,13.41,12.93,-7.99
Provision for Income Taxes,5.69,1.41,2.65,3.12,5.20
Net Income After Taxes,22.28,13.88,10.77,9.81,-13.19
Net Income Before Extra. Items,18.75,15.70,9.50,8.28,-12.76
Net Income,18.75,15.70,9.50,8.28,-12.76
Income Available to Com Excl ExtraOrd,18.75,15.70,9.50,8.28,-12.76
Income Available to Com Incl ExtraOrd,18.75,15.70,9.50,8.28,-12.76
Diluted Net Income,18.75,15.70,9.50,8.28,-12.76
Diluted Weighted Average Shares,257.47,255.92,256.14,254.81,254.89
Diluted EPS Excluding ExtraOrd Items,0.07,0.06,0.04,0.03,-0.05
DPS - Common Stock Primary Issue,0.02,0.02,0.02,0.02,0.01
Diluted Normalised EPS,0.04,0.06,0.03,0.03,-0.05
