Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-17.04,1.32,0.57,-5.21,-7.86
Depreciation/Depletion,6.15,6.39,5.81,4.96,6.50
Non-Cash Items,13.69,1.31,2.24,5.56,9.98
Cash Taxes Paid,0.74,0.09,-0.11,0.02,0.00
Changes in Working Capital,12.22,-9.34,0.61,-3.87,-4.72
Cash from Operating Activities,15.62,0.17,9.23,1.43,3.91
Capital Expenditures,-1.53,-1.95,-2.29,-1.65,-3.93
"Other Investing Cash Flow Items, Total",-6.17,-11.83,0.83,2.35,2.29
Cash from Investing Activities,-7.70,-13.78,-1.46,0.69,-1.64
Total Cash Dividends Paid,0.00,0,0.00,-0.47,0.00
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-11.19,6.24,-10.47,-4.89,-4.44
Foreign Exchange Effects,0.42,-0.03,0.02,-0.02,-0.01
Net Change in Cash,-2.85,-7.40,-2.68,-2.78,-2.19
