Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,86.49,78.65,69.37,68.61,59.74
Total Revenue,86.49,78.65,69.37,68.61,59.74
"Selling/General/Admin. Expenses, Total",13.54,12.04,10.76,10.01,9.44
Depreciation/Amortisation,0.59,0.50,0,0,2.16
Unusual Expense (Income),0.03,0.18,0.43,1.98,2.90
"Other Operating Expenses, Total",9.79,-1.41,-0.25,0.73,-0.32
Total Operating Expense,102.38,76.05,67.78,72.79,66.00
Operating Income,-15.89,2.59,1.58,-4.18,-6.25
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.15,-1.28,-1.01,-1.03,-1.60
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-17.04,1.32,0.57,-5.21,-7.86
Provision for Income Taxes,-0.35,-0.25,-0.22,-0.19,-0.06
Net Income After Taxes,-16.69,1.56,0.79,-5.03,-7.79
Net Income Before Extra. Items,-16.69,1.41,0.97,-4.69,-7.64
Net Income,-16.69,1.41,0.97,-4.69,-7.64
Income Available to Com Excl ExtraOrd,-16.69,1.41,0.97,-4.69,-7.64
Income Available to Com Incl ExtraOrd,-16.69,1.41,0.97,-4.69,-7.64
Diluted Net Income,-16.69,1.41,0.97,-4.69,-7.64
Diluted Weighted Average Shares,39.38,39.38,39.38,39.38,39.38
Diluted EPS Excluding ExtraOrd Items,-0.42,0.04,0.02,-0.12,-0.19
DPS - Common Stock Primary Issue,0.00,0,0.01,0,0
Diluted Normalised EPS,-0.42,0.04,0.03,-0.09,-0.15
