Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,31.33,31.09,21.07,15.87,5.66
"Accounts Receivable - Trade, Net",0.82,0.93,0.83,0.04,0.15
"Total Receivables, Net",4.88,2.97,2.03,1.43,1.30
Prepaid Expenses,0.54,0.52,0,0,0
"Other Current Assets, Total",0,0,0.49,0.36,0.30
Total Current Assets,36.75,34.58,24.11,18.51,8.14
"Property/Plant/Equipment, Total - Gross",8.41,9.75,10.36,10.07,11.38
"Accumulated Depreciation, Total",-0.87,-1.56,-2.27,-2.44,-3.10
"Property/Plant/Equipment, Total - Net",7.54,8.19,8.10,7.64,8.29
"Goodwill, Net",0.33,0.34,0.33,0.31,0.31
"Intangibles, Net",1.47,1.06,0.54,0.15,0.14
Long Term Investments,0,0,0,0,0
Total Assets,46.11,44.25,33.07,26.69,16.98
Accounts Payable,1.16,0.88,3.62,0.47,0.85
Accrued Expenses,1.43,2.02,2.65,1.59,1.85
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",0.63,0.70,0.58,0.27,0.14
Total Current Liabilities,3.42,3.87,7.13,2.53,3.30
Total Long Term Debt,4.05,4.48,4.25,3.62,3.46
Total Debt,4.25,4.75,4.54,3.83,3.92
Deferred Income Tax,0.36,0.17,0.09,0.00,0
"Other Liabilities, Total",0.10,0.10,0.08,0.04,0.06
Total Liabilities,7.92,8.63,11.55,6.19,6.81
"Common Stock, Total",65.00,70.13,71.13,71.53,72.25
Retained Earnings (Accumulated Deficit),-27.32,-34.37,-50.05,-52.73,-63.42
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.51,-0.14,0.44,1.70,1.33
Total Equity,38.19,35.63,21.52,20.50,10.17
Total Liabilities & Shareholders' Equity,46.11,44.25,33.07,26.69,16.98
Total Common Shares Outstanding,622.09,647.31,650.52,652.44,652.44
"Tangible Book Value per Share, Common Eq",0.06,0.05,0.03,0.03,0.01
