Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-7.70,-7.39,-15.09,-2.99,-10.50
Depreciation/Depletion,0.93,1.28,1.41,1.22,1.02
Non-Cash Items,-2.73,-2.55,0.13,-8.44,0.04
Cash Taxes Paid,-0.22,-4.13,-1.81,0.00,-0.74
Changes in Working Capital,0.37,4.50,5.20,-3.68,1.09
Cash from Operating Activities,-9.13,-4.16,-8.36,-13.90,-8.32
Capital Expenditures,-1.16,-1.12,-1.19,-1.69,-0.99
"Other Investing Cash Flow Items, Total",-1.50,0.00,0.00,11.43,0.00
Cash from Investing Activities,-2.67,-1.12,-1.19,9.74,-0.99
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",35.16,4.70,0,0,0
Cash from Financing Activities,34.48,4.59,-0.25,-1.58,-0.83
Foreign Exchange Effects,-0.65,0.45,-0.23,-0.22,-0.10
Net Change in Cash,22.04,-0.24,-10.02,-5.96,-10.24
