Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,28.36,26.25,51.30,31.47,16.53
Short Term Investments,182.08,115.16,68.06,67.65,57.60
Cash and Short Term Investments,210.44,141.41,119.35,99.12,74.13
"Accounts Receivable - Trade, Net",21.51,31.52,25.32,26.15,30.48
"Total Receivables, Net",21.94,32.95,32.50,32.03,36.53
Prepaid Expenses,1.01,2.18,2.72,2.54,1.29
"Other Current Assets, Total",0.41,0.54,0.40,0.36,0.20
Total Current Assets,305.15,272.71,258.02,235.04,211.82
"Property/Plant/Equipment, Total - Gross",28.52,49.90,56.11,55.83,53.12
"Accumulated Depreciation, Total",-12.89,-14.85,-18.42,-23.80,-26.24
"Property/Plant/Equipment, Total - Net",15.63,35.05,37.69,32.03,26.88
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,45.18,27.22,11.58,10.56,50.91
Total Assets,369.73,336.41,342.80,324.02,292.66
Accounts Payable,7.31,8.41,6.91,3.63,2.41
Accrued Expenses,42.55,53.17,59.65,56.09,47.97
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",61.05,62.30,62.39,55.64,37.50
Total Current Liabilities,110.92,123.88,140.44,115.36,87.88
Total Long Term Debt,15.49,15.09,0.00,0.00,0.00
Total Debt,15.50,15.09,11.49,0.00,0.00
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0.00,0.00,0.14,2.86,1.05
Total Liabilities,126.41,138.97,140.57,118.28,89.03
"Common Stock, Total",58.96,58.96,59.95,59.95,59.95
Retained Earnings (Accumulated Deficit),184.19,137.94,142.11,145.46,143.55
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0.18,0.54,0.17,0.33,0.13
"Other Equity, Total",0,0,0,0,0
Total Equity,243.32,197.44,202.23,205.75,203.63
Total Liabilities & Shareholders' Equity,369.73,336.41,342.80,324.02,292.66
Total Common Shares Outstanding,509.98,509.98,512.10,512.10,512.10
"Tangible Book Value per Share, Common Eq",0.48,0.39,0.39,0.40,0.40
