Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,118.14,142.40,197.79,193.49,60.24
Total Revenue,118.14,142.40,197.79,193.49,60.24
"Selling/General/Admin. Expenses, Total",5.45,5.48,5.01,4.54,3.03
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.00,-0.19,-0.18,-0.02,-0.54
"Other Operating Expenses, Total",0.53,2.03,2.15,1.25,-2.00
Total Operating Expense,77.81,121.43,181.17,174.23,52.27
Operating Income,40.33,20.98,16.62,19.26,7.97
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0.49,1.23,-2.77,-2.56
"Other, Net",0,0,0,0,0
Net Income Before Taxes,40.33,21.47,17.85,16.49,5.40
Provision for Income Taxes,4.40,3.96,3.81,3.89,1.11
Net Income After Taxes,35.93,17.50,14.05,12.60,4.29
Net Income Before Extra. Items,35.93,17.50,14.05,12.57,4.24
Net Income,35.93,17.50,14.05,12.57,4.24
Income Available to Com Excl ExtraOrd,35.93,17.50,14.05,12.57,4.24
Income Available to Com Incl ExtraOrd,35.93,17.50,14.05,12.57,4.24
Diluted Net Income,35.93,17.50,14.05,12.57,4.24
Diluted Weighted Average Shares,509.98,509.98,512.10,512.10,512.10
Diluted EPS Excluding ExtraOrd Items,0.07,0.03,0.03,0.02,0.01
DPS - Common Stock Primary Issue,0.03,0.02,0.02,0.01,0.00
Diluted Normalised EPS,0.07,0.04,0.03,0.02,0.01
