Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,34.72,58.57,32.47,0,0
Short Term Investments,16.07,63.73,48.16,3.71,3.49
Cash and Short Term Investments,50.80,122.30,80.63,88.90,105.34
"Accounts Receivable - Trade, Net",232.35,208.05,222.60,259.74,215.05
"Total Receivables, Net",255.87,226.27,232.05,261.02,215.78
Prepaid Expenses,0.78,0.78,0.22,0,0
"Other Current Assets, Total",1.36,5.21,3.23,6.28,5.94
Total Current Assets,318.38,363.89,450.66,498.17,451.82
"Property/Plant/Equipment, Total - Gross",217.29,226.47,234.04,0,0
"Accumulated Depreciation, Total",-108.41,-118.41,-120.79,0,0
"Property/Plant/Equipment, Total - Net",108.88,108.07,113.24,150.84,133.40
"Goodwill, Net",5.08,5.08,5.08,5.08,5.08
"Intangibles, Net",0,0,0,0,0
Long Term Investments,169.25,186.33,189.91,202.53,195.81
Total Assets,616.78,711.04,799.21,858.78,819.38
Accounts Payable,113.81,113.05,131.72,18.50,38.34
Accrued Expenses,20.53,20.06,12.36,0,0
Notes Payable/Short Term Debt,22.78,10.30,68.78,0.00,75.54
"Other Current liabilities, Total",50.34,44.23,7.28,12.91,7.81
Total Current Liabilities,212.90,233.11,227.40,245.30,233.84
Total Long Term Debt,111.72,146.52,248.47,278.82,270.54
Total Debt,139.94,198.14,322.07,369.56,360.71
Deferred Income Tax,8.56,8.26,8.20,8.12,7.78
"Other Liabilities, Total",7.40,17.42,9.62,3.82,4.65
Total Liabilities,352.48,427.20,516.99,556.98,531.49
"Common Stock, Total",36.98,36.98,36.98,36.98,36.98
Retained Earnings (Accumulated Deficit),244.78,264.39,270.85,282.27,268.32
Treasury Stock - Common,-7.61,-7.91,-7.98,-7.98,-7.98
Unrealised Gain (Loss),-0.49,-0.70,-8.49,0,0
"Other Equity, Total",-9.36,-8.92,-9.14,-9.48,-9.43
Total Equity,264.30,283.85,282.22,301.80,287.89
Total Liabilities & Shareholders' Equity,616.78,711.04,799.21,858.78,819.38
Total Common Shares Outstanding,413.68,412.69,412.46,412.46,412.46
"Tangible Book Value per Share, Common Eq",0.63,0.68,0.67,0.72,0.69
