Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,345.72,403.82,403.65,353.71,243.07
Total Revenue,345.72,403.82,403.65,353.71,243.07
"Selling/General/Admin. Expenses, Total",19.83,24.87,20.27,19.89,18.48
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-1.18,-11.63,-0.81,-1.48,-1.37
"Other Operating Expenses, Total",4.42,-13.50,0.40,-3.16,-2.74
Total Operating Expense,328.44,385.34,397.11,351.97,254.23
Operating Income,17.28,18.48,6.54,1.75,-11.16
"Interest Inc.(Exp.),Net-Non-Op., Total",0,8.43,3.71,6.93,-5.06
"Other, Net",0,0,0,0,0
Net Income Before Taxes,17.28,26.91,10.24,8.68,-16.22
Provision for Income Taxes,2.40,0.90,0.99,0.55,0.50
Net Income After Taxes,14.88,26.01,9.25,8.13,-16.72
Net Income Before Extra. Items,13.32,20.56,6.61,5.77,-14.81
Net Income,13.32,20.56,6.61,5.77,-14.81
Income Available to Com Excl ExtraOrd,13.32,20.56,6.61,5.77,-14.81
Income Available to Com Incl ExtraOrd,13.32,20.56,6.61,5.77,-14.81
Diluted Net Income,13.32,20.56,6.61,5.77,-14.81
Diluted Weighted Average Shares,414.47,413.14,412.50,412.46,412.46
Diluted EPS Excluding ExtraOrd Items,0.03,0.05,0.02,0.01,-0.04
DPS - Common Stock Primary Issue,0.00,0.01,0.00,0.00,0.00
Diluted Normalised EPS,0.03,0.03,0.01,0.01,-0.04
