Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,379.94,331.30,702.42,488.51,391.87
Total Revenue,379.94,331.30,702.42,488.51,391.87
"Selling/General/Admin. Expenses, Total",20.95,23.97,17.33,15.90,17.09
Depreciation/Amortisation,0.58,0.50,0.44,0.30,0.23
Unusual Expense (Income),0.12,0.11,-0.27,-3.86,0.69
"Other Operating Expenses, Total",-0.50,-1.75,-7.84,-0.45,1.40
Total Operating Expense,357.87,322.16,677.27,479.52,369.10
Operating Income,22.07,9.14,25.15,8.99,22.77
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,22.07,9.14,25.15,8.99,22.77
Provision for Income Taxes,5.51,1.27,7.73,1.96,5.22
Net Income After Taxes,16.56,7.87,17.42,7.03,17.55
Net Income Before Extra. Items,16.70,8.07,18.11,6.08,17.59
Net Income,16.70,8.07,18.11,6.08,17.59
Income Available to Com Excl ExtraOrd,16.70,8.07,18.11,6.08,17.59
Income Available to Com Incl ExtraOrd,16.70,8.07,18.11,6.08,17.59
Diluted Net Income,16.70,8.07,18.11,6.08,17.59
Diluted Weighted Average Shares,500.99,500.99,500.99,500.99,500.99
Diluted EPS Excluding ExtraOrd Items,0.03,0.02,0.04,0.01,0.04
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.01,0.01
Diluted Normalised EPS,0.03,0.02,0.04,0.01,0.04
