Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,22.07,9.14,25.15,8.99,22.77
Depreciation/Depletion,8.57,10.29,10.43,10.02,10.46
Non-Cash Items,-2.22,2.53,3.35,2.37,9.24
Cash Taxes Paid,0.26,0.63,3.95,-1.28,-4.62
Changes in Working Capital,5.02,-47.58,-58.65,57.49,52.73
Cash from Operating Activities,33.45,-25.62,-19.73,78.86,95.20
Capital Expenditures,-32.86,-19.77,-26.95,-68.23,-70.04
"Other Investing Cash Flow Items, Total",-1.26,5.57,2.04,0.82,-0.25
Cash from Investing Activities,-34.12,-14.20,-24.92,-67.40,-70.28
Total Cash Dividends Paid,-3.36,-3.36,-3.45,-3.63,-3.73
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,3.89,22.94,45.30,5.84,-37.87
Foreign Exchange Effects,-1.16,1.80,0,0,0
Net Change in Cash,2.05,-15.08,0.66,17.29,-12.95
