Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,309.57,317.51,329.05,346.95,157.83
Total Revenue,309.57,317.51,329.05,346.95,157.83
"Selling/General/Admin. Expenses, Total",172.50,177.69,155.95,144.05,118.94
Depreciation/Amortisation,25.06,25.11,22.37,23.71,26.34
Unusual Expense (Income),1.35,-39.24,-39.74,3.94,2.84
"Other Operating Expenses, Total",56.14,56.79,60.66,58.45,25.30
Total Operating Expense,282.93,267.96,268.28,314.44,219.29
Operating Income,26.63,49.56,60.77,32.52,-61.45
"Interest Inc.(Exp.),Net-Non-Op., Total",-25.92,-26.90,-35.80,-18.56,-33.12
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.71,22.66,24.97,13.96,-94.57
Provision for Income Taxes,7.66,7.80,10.58,11.43,7.94
Net Income After Taxes,-6.95,14.86,14.39,2.53,-102.51
Net Income Before Extra. Items,-16.20,12.93,13.47,0.65,-95.84
Net Income,-16.20,12.93,13.47,0.65,-95.84
Income Available to Com Excl ExtraOrd,-16.20,12.93,13.47,0.65,-95.84
Income Available to Com Incl ExtraOrd,-16.20,12.93,13.47,0.65,-95.84
Diluted Net Income,-16.20,12.93,13.47,0.65,-95.84
Diluted Weighted Average Shares,760.97,826.69,883.86,840.92,840.03
Diluted EPS Excluding ExtraOrd Items,-0.02,0.02,0.02,0.00,-0.11
DPS - Common Stock Primary Issue,0.00,0.01,0.01,0.00,0
Diluted Normalised EPS,-0.02,-0.01,-0.01,0.01,-0.10
