Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.00,0.28,1.17,0.11,0.00
Total Revenue,0.00,0.28,1.17,0.11,0.00
"Selling/General/Admin. Expenses, Total",1.25,1.07,1.28,1.38,1.32
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0.00,0.03,0.06,-0.25
"Other Operating Expenses, Total",-0.01,-0.16,-0.02,0.22,-0.15
Total Operating Expense,1.24,1.19,2.56,2.07,0.87
Operating Income,-1.24,-0.92,-1.39,-1.95,-0.87
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0.00,-0.01,-0.22,-0.30
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-1.24,-0.92,-1.40,-2.17,-1.17
Provision for Income Taxes,0.00,0.14,0.00,-0.01,0.16
Net Income After Taxes,-1.24,-1.06,-1.40,-2.17,-1.32
Net Income Before Extra. Items,-1.24,-1.01,-1.38,-2.16,-1.32
Net Income,-1.87,-15.50,-1.38,-2.16,-1.32
Income Available to Com Excl ExtraOrd,-1.24,-1.01,-1.38,-2.16,-1.32
Income Available to Com Incl ExtraOrd,-1.87,-15.50,-1.38,-2.16,-1.32
Diluted Net Income,-1.87,-15.50,-1.38,-2.16,-1.32
Diluted Weighted Average Shares,1833.00,1833.00,1833.00,1833.00,1833.00
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.00,-0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,-0.00,-0.00,-0.00,-0.00
