Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,94.08,53.48,61.76,91.16,59.14
Total Revenue,94.08,53.48,61.76,91.16,59.14
"Selling/General/Admin. Expenses, Total",16.91,16.35,14.66,20.49,16.44
Depreciation/Amortisation,0.12,0.05,0.04,0.04,0.03
Unusual Expense (Income),1.68,0,0,9.92,-6.61
"Other Operating Expenses, Total",0.01,1.54,1.49,1.52,-0.92
Total Operating Expense,94.58,54.06,59.20,102.19,56.20
Operating Income,-0.49,-0.59,2.56,-11.03,2.94
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.02,-1.00,-1.32,-1.89,-0.39
"Other, Net",-0.16,-1.66,-0.55,-1.43,0.78
Net Income Before Taxes,-1.68,-3.25,0.70,-14.71,3.31
Provision for Income Taxes,0.55,0.19,0.63,0.04,0.25
Net Income After Taxes,-2.23,-3.44,0.06,-14.74,3.06
Net Income Before Extra. Items,-1.83,-3.04,0.31,-14.88,2.80
Net Income,-1.83,-3.04,0.31,-14.88,2.80
Income Available to Com Excl ExtraOrd,-1.83,-3.04,0.31,-14.88,2.80
Income Available to Com Incl ExtraOrd,-1.83,-3.04,0.31,-14.88,2.80
Diluted Net Income,-1.83,-3.04,0.31,-14.88,2.80
Diluted Weighted Average Shares,101.27,101.27,101.27,101.27,101.27
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.03,0.00,-0.15,0.03
DPS - Common Stock Primary Issue,0.03,0.05,0,0,0
Diluted Normalised EPS,-0.01,-0.03,0.00,-0.08,-0.01
