Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,2.87,2.03,3.67,2.50
Short Term Investments,0,16.62,15.88,12.35,8.76
Cash and Short Term Investments,26.95,19.49,17.91,16.02,11.26
"Accounts Receivable - Trade, Net",1.40,0.36,1.33,0.24,2.32
"Total Receivables, Net",1.40,0.98,2.84,1.37,3.52
Prepaid Expenses,0,0.03,0.02,0.02,0.07
"Other Current Assets, Total",0,0.46,0.11,0.11,0.11
Total Current Assets,29.01,21.97,22.89,19.39,16.93
"Property/Plant/Equipment, Total - Gross",0,43.64,50.87,62.52,63.36
"Accumulated Depreciation, Total",0,-19.08,-23.77,-28.57,-32.73
"Property/Plant/Equipment, Total - Net",22.71,33.48,36.95,43.15,36.15
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0,0,0
Total Assets,51.72,55.46,60.51,63.46,54.47
Accounts Payable,0,1.83,2.08,2.14,2.27
Accrued Expenses,0.60,4.60,5.07,4.61,3.62
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",1.11,0.50,1.93,1.53,0.05
Total Current Liabilities,4.54,6.97,9.14,8.46,6.01
Total Long Term Debt,0.06,0.63,0.72,0.78,0.72
Total Debt,0.10,0.67,0.78,0.96,0.79
Deferred Income Tax,1.58,0.51,0.20,0.00,0
"Other Liabilities, Total",0,0.15,1.71,2.08,2.21
Total Liabilities,12.09,15.01,18.88,18.69,15.03
"Common Stock, Total",18.03,18.03,18.03,18.03,18.03
Retained Earnings (Accumulated Deficit),21.68,22.63,23.55,26.71,21.44
Treasury Stock - Common,-0.08,-0.20,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,-0.02,0.04,0.03,-0.03
Total Equity,39.63,40.44,41.63,44.77,39.44
Total Liabilities & Shareholders' Equity,51.72,55.46,60.51,63.46,54.47
Total Common Shares Outstanding,407.29,406.66,407.69,407.69,407.69
"Tangible Book Value per Share, Common Eq",0.10,0.10,0.10,0.11,0.10
