Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS,ARS
Net Income/Starting Line,3.15,5.12,5.53,4.30,0.86
Depreciation/Depletion,0.68,0.88,1.52,2.37,7.70
Non-Cash Items,0.55,0.09,-0.40,0.29,2.24
Cash Taxes Paid,1.04,1.23,1.59,1.85,1.32
Changes in Working Capital,-1.35,-0.77,-1.12,-1.46,-5.18
Cash from Operating Activities,3.08,5.38,5.61,5.75,5.95
Capital Expenditures,-1.71,-3.60,-5.41,-5.94,-3.55
"Other Investing Cash Flow Items, Total",0.47,-0.03,0.88,-0.09,0.09
Cash from Investing Activities,-1.25,-3.63,-4.52,-6.03,-3.46
Total Cash Dividends Paid,-1.15,-1.30,-1.08,-1.02,-1.22
"Issuance (Retirement) of Stock, Net",0.00,0.00,6.72,-1.63,7.84
Cash from Financing Activities,-2.27,-1.22,4.77,-3.21,1.76
Foreign Exchange Effects,0.00,0.00,0.02,0.02,0.01
Net Change in Cash,-0.43,0.53,5.87,-3.47,4.27
