Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,Interim Report,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0.00,20.00,0.00,0
Cash and Short Term Investments,148.70,136.69,134.52,107.59,112.37
"Accounts Receivable - Trade, Net",96.52,93.66,113.56,159.96,129.50
"Total Receivables, Net",112.89,93.66,113.56,159.96,129.50
Prepaid Expenses,8.48,6.58,16.18,3.11,2.55
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,293.97,257.22,292.93,297.01,272.35
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",100.22,87.70,74.04,77.87,70.55
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.60,0.26,0.19,0.21,0.90
Long Term Investments,0.61,0.44,2.43,1.93,1.71
Total Assets,409.47,359.36,383.58,377.85,347.56
Accounts Payable,49.78,46.43,30.97,40.21,28.85
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",43.85,38.42,67.91,43.07,42.07
Total Current Liabilities,93.63,84.85,98.88,83.42,70.96
Total Long Term Debt,0.00,0.00,0.00,0.05,0.00
Total Debt,0.00,0.00,0.00,0.18,0.04
Deferred Income Tax,0.10,0.10,0.10,0.00,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,93.73,84.95,98.98,83.46,70.96
"Common Stock, Total",149.28,149.28,149.28,149.28,149.28
Retained Earnings (Accumulated Deficit),166.90,125.43,135.92,147.53,130.34
Treasury Stock - Common,-0.43,-0.29,-0.60,-2.42,-3.02
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,315.75,274.42,284.60,294.39,276.60
Total Liabilities & Shareholders' Equity,409.47,359.36,383.58,377.85,347.56
Total Common Shares Outstanding,50.33,50.31,50.06,48.66,48.18
"Tangible Book Value per Share, Common Eq",6.26,5.45,5.68,6.05,5.72
