Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,PRESS,PRESS,PRESS,PRESS
Revenue,0.00,122.56,270.84,78.48,10.82
Total Revenue,0.00,122.56,270.84,78.48,10.82
"Selling/General/Admin. Expenses, Total",2.59,2.39,3.84,2.74,1.85
Depreciation/Amortisation,0.26,0,0,0,0
Unusual Expense (Income),8.89,0,0,0,-1.60
"Other Operating Expenses, Total",4.90,4.15,3.33,-0.76,0.32
Total Operating Expense,23.95,125.38,284.89,78.21,9.42
Operating Income,-23.95,-2.81,-14.04,0.27,1.40
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.09,-0.02,-0.07,-0.21
"Other, Net",0,-0.01,-0.09,0,0
Net Income Before Taxes,-23.95,-2.91,-14.16,0.20,1.19
Provision for Income Taxes,-0.78,0.21,0.09,-0.09,0.00
Net Income After Taxes,-23.17,-3.12,-14.25,0.29,1.19
Net Income Before Extra. Items,-23.13,-5.00,-9.70,-0.14,3.16
Net Income,-23.13,-5.00,-9.70,-0.14,3.16
Income Available to Com Excl ExtraOrd,-23.13,-5.00,-9.70,-0.14,3.16
Income Available to Com Incl ExtraOrd,-23.13,-5.00,-9.70,-0.14,3.16
Diluted Net Income,-23.13,-5.00,-9.70,-0.14,3.16
Diluted Weighted Average Shares,244.27,262.37,292.83,292.83,292.83
Diluted EPS Excluding ExtraOrd Items,-0.09,-0.02,-0.03,-0.00,0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.07,-0.02,-0.03,-0.00,0.01
