Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Jul 2016,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,7.74,7.87,7.22,6.92,5.37
Total Revenue,7.74,7.87,7.22,6.92,5.37
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,0.20,0.30,0.33,0.35,0.56
Unusual Expense (Income),19.65,-0.00,0.06,0.39,-0.12
"Other Operating Expenses, Total",1.70,1.45,1.47,2.11,0.29
Total Operating Expense,28.10,7.74,7.67,9.33,5.21
Operating Income,-20.36,0.13,-0.45,-2.41,0.15
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.16,-0.08,0.06
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-20.36,0.13,-0.61,-2.49,0.21
Provision for Income Taxes,-0.02,0.00,-0.01,0.00,0.00
Net Income After Taxes,-20.34,0.13,-0.60,-2.49,0.21
Net Income Before Extra. Items,-20.34,0.13,-0.61,-2.05,0.14
Net Income,-21.75,0.13,-0.61,-2.05,0.14
Income Available to Com Excl ExtraOrd,-20.34,0.13,-0.61,-2.05,0.14
Income Available to Com Incl ExtraOrd,-21.75,0.13,-0.61,-2.05,0.14
Diluted Net Income,-21.75,0.13,-0.61,-2.05,0.14
Diluted Weighted Average Shares,94.03,147.99,153.57,152.05,130.45
Diluted EPS Excluding ExtraOrd Items,-0.22,0.00,-0.00,-0.01,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.08,0.00,-0.00,-0.01,0.00
