Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Jul 2016,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-21.77,0.13,-0.61,-2.49,0.21
Depreciation/Depletion,0.83,0.30,0.33,0.35,0.56
Non-Cash Items,19.72,0.07,0.21,0.51,-0.30
Cash Taxes Paid,-0.02,0.00,0.00,0.00,0.00
Changes in Working Capital,-0.97,-2.10,-0.55,-2.63,-1.62
Cash from Operating Activities,-2.19,-1.60,-0.63,-4.26,-1.15
Capital Expenditures,-0.58,-0.16,-0.15,-0.14,-0.06
"Other Investing Cash Flow Items, Total",0.33,-0.69,0.00,0.06,0.06
Cash from Investing Activities,-0.25,-0.85,-0.15,-0.08,-0.00
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",5.04,4.00,5.01,2.51,5.70
Cash from Financing Activities,5.05,3.41,4.34,2.04,5.14
Foreign Exchange Effects,-1.90,-0.07,-0.02,0.00,-0.02
Net Change in Cash,0.72,0.90,3.54,-2.29,3.97
