Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,2274.91,2853.67,2828.79,2354.44,2281.52
Total Revenue,2274.91,2853.67,2828.79,2354.44,2281.52
"Selling/General/Admin. Expenses, Total",181.71,199.42,218.68,190.46,195.28
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.56,-0.51,13.24,0.39,1.60
"Other Operating Expenses, Total",-3.00,-2.16,-5.22,-4.59,-10.11
Total Operating Expense,2101.30,2623.26,2604.13,2157.44,2072.16
Operating Income,173.61,230.41,224.65,197.00,209.37
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.65,-0.68,-0.60,-0.76,-0.69
"Other, Net",0,0,0,0,0
Net Income Before Taxes,172.96,229.72,224.05,196.24,208.67
Provision for Income Taxes,18.90,24.99,24.57,17.29,21.56
Net Income After Taxes,154.07,204.73,199.48,178.94,187.11
Net Income Before Extra. Items,154.07,204.73,199.48,178.94,187.11
Net Income,154.07,204.73,199.48,178.94,187.11
Income Available to Com Excl ExtraOrd,154.07,204.73,199.48,178.94,187.11
Income Available to Com Incl ExtraOrd,154.07,204.73,199.48,178.94,187.11
Diluted Net Income,154.07,204.73,199.48,178.94,187.11
Diluted Weighted Average Shares,422.16,429.93,432.31,434.61,435.21
Diluted EPS Excluding ExtraOrd Items,0.36,0.48,0.46,0.41,0.43
DPS - Common Stock Primary Issue,0.15,0.22,0.20,0.19,0.21
Diluted Normalised EPS,0.36,0.48,0.49,0.41,0.43
