Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-20.81,-2.61,-1.71,-2.16,-1.25
Depreciation/Depletion,33.30,19.29,3.36,0.00,0.00
Non-Cash Items,-41.01,1.73,-4.51,-0.00,0.00
Cash Taxes Paid,0.00,0.01,0.00,0,0
Changes in Working Capital,-194.71,33.66,2.66,0.45,0.22
Cash from Operating Activities,-223.24,52.07,-0.19,-1.72,-1.03
Capital Expenditures,-4.99,-1.42,-0.29,0.00,0
"Other Investing Cash Flow Items, Total",29.38,0.01,-2.89,3.11,0.00
Cash from Investing Activities,24.39,-1.41,-3.18,3.11,0.00
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,192.14,-58.68,0.05,0.00,0
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-6.72,-8.02,-3.32,1.40,-1.03
