Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,11.35,23.00,4.19,4.00,-5.64
Depreciation/Depletion,4.15,4.75,0.23,0.24,0.21
Non-Cash Items,-3.95,0.44,0.03,1.70,-0.85
Cash Taxes Paid,2.56,3.74,5.76,1.20,0.80
Changes in Working Capital,-10.77,-113.89,-67.20,39.17,4.46
Cash from Operating Activities,0.95,-85.55,-62.76,45.11,-1.82
Capital Expenditures,-2.23,-1.86,-0.08,-0.04,-0.02
"Other Investing Cash Flow Items, Total",0.34,37.79,0.00,0.00,0.00
Cash from Investing Activities,-1.89,35.93,-0.08,-0.04,-0.02
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",10.84,18.31,52.37,0.00,0
Cash from Financing Activities,-34.44,55.78,52.14,-49.78,-5.52
Foreign Exchange Effects,0.69,-1.28,0.84,0.14,-0.14
Net Change in Cash,-34.69,4.88,-9.86,-4.57,-7.50
