Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,152.22,207.20,240.82,243.44,175.11
Total Revenue,152.22,207.20,240.82,243.44,175.11
"Selling/General/Admin. Expenses, Total",9.84,11.36,10.41,10.85,10.50
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,36.09
"Other Operating Expenses, Total",2.00,0.72,-1.02,-0.76,1.27
Total Operating Expense,152.15,202.17,236.11,239.67,216.78
Operating Income,0.07,5.03,4.71,3.77,-41.68
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.11,-1.52,-2.07,-2.57,-2.10
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-1.04,3.51,2.64,1.20,-43.78
Provision for Income Taxes,0.47,0.92,0.74,1.18,0.30
Net Income After Taxes,-1.50,2.60,1.90,0.02,-44.08
Net Income Before Extra. Items,-0.83,2.08,1.90,0.02,-44.08
Net Income,-0.83,2.08,1.90,0.02,-44.08
Income Available to Com Excl ExtraOrd,-0.83,2.08,1.90,0.02,-44.08
Income Available to Com Incl ExtraOrd,-0.83,2.08,1.90,0.02,-44.08
Diluted Net Income,-0.83,2.08,1.90,0.02,-44.08
Diluted Weighted Average Shares,637.81,792.93,864.28,864.28,957.07
Diluted EPS Excluding ExtraOrd Items,-0.00,0.00,0.00,0.00,-0.05
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,0.00,0.00,0.00,-0.02
