Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.04,3.51,2.64,1.20,-43.78
Depreciation/Depletion,1.62,1.96,2.90,3.25,3.65
Non-Cash Items,0.78,1.60,1.87,2.45,42.15
Cash Taxes Paid,0.80,0.80,1.12,1.17,0.76
Changes in Working Capital,-0.80,-0.06,4.79,1.11,14.56
Cash from Operating Activities,0.55,7.02,12.20,8.01,16.58
Capital Expenditures,0,0,0,0,0
"Other Investing Cash Flow Items, Total",-1.89,-8.44,-0.98,-0.51,-0.22
Cash from Investing Activities,-1.89,-8.44,-0.98,-0.51,-0.22
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,5.99
Cash from Financing Activities,0.93,1.48,-11.81,-4.29,-16.50
Foreign Exchange Effects,-0.02,0.03,-0.16,-0.27,0.00
Net Change in Cash,-0.43,0.09,-0.74,2.94,-0.14
