Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,110.12,109.88,112.84,115.22,120.89
Total Revenue,110.12,109.88,112.84,115.22,120.89
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0.00,0,0,0,1.22
Total Operating Expense,30.35,19.89,21.02,22.06,25.87
Operating Income,79.77,90.00,91.82,93.17,95.02
"Interest Inc.(Exp.),Net-Non-Op., Total",20.40,19.97,68.90,38.85,1.48
"Other, Net",0,0.00,-0.00,-0.01,-0.11
Net Income Before Taxes,100.17,109.97,160.71,132.00,96.39
Provision for Income Taxes,8.25,8.50,8.78,8.61,9.17
Net Income After Taxes,91.93,101.46,151.93,123.40,87.22
Net Income Before Extra. Items,91.93,101.46,151.93,123.40,87.22
Net Income,91.93,101.46,151.93,123.40,87.22
Income Available to Com Excl ExtraOrd,91.93,101.46,151.93,123.40,87.22
Income Available to Com Incl ExtraOrd,91.93,101.46,151.93,123.40,87.22
Diluted Net Income,91.93,101.46,151.93,123.40,87.22
Diluted Weighted Average Shares,605.00,605.00,605.00,605.00,605.00
Diluted EPS Excluding ExtraOrd Items,0.15,0.17,0.25,0.20,0.14
DPS - Common Stock Primary Issue,0.12,0.12,0.11,0.12,0.12
Diluted Normalised EPS,0.15,0.17,0.25,0.20,0.14
