Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,100.17,109.97,160.71,132.00,96.39
Depreciation/Depletion,0,0,0,0,0
Non-Cash Items,-10.50,-19.97,-68.90,-39.10,-1.63
Cash Taxes Paid,4.83,8.04,4.60,4.95,5.07
Changes in Working Capital,-2.16,-9.25,-3.46,-3.66,-4.45
Cash from Operating Activities,87.52,80.75,88.35,89.25,90.31
Capital Expenditures,0,0,0,0,0
"Other Investing Cash Flow Items, Total",27.35,-71.17,-27.78,-61.14,-28.58
Cash from Investing Activities,27.35,-71.17,-27.78,-61.14,-28.58
Total Cash Dividends Paid,-75.20,-78.83,-78.47,-79.44,-82.04
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-65.94,-52.88,-64.71,-28.44,-61.46
Foreign Exchange Effects,1.71,-0.42,0.51,0.37,0.52
Net Change in Cash,50.64,-43.72,-3.63,0.04,0.79
