Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.12,-4.02,-3.71,-2.42,0.23
Depreciation/Depletion,0.99,1.04,1.13,1.21,1.21
Non-Cash Items,0.58,0.41,0.73,0.53,0.75
Cash Taxes Paid,0.04,0.07,0.03,0.01,0.05
Changes in Working Capital,-0.16,3.13,-0.40,3.53,-2.07
Cash from Operating Activities,2.52,0.55,-2.25,2.85,0.12
Capital Expenditures,-0.35,-0.74,-0.27,-0.22,-0.27
"Other Investing Cash Flow Items, Total",0.28,0.03,0.04,0.20,0.02
Cash from Investing Activities,-0.06,-0.70,-0.23,-0.03,-0.25
Total Cash Dividends Paid,0,-0.25,0.00,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-0.13,-0.69,2.28,-2.87,1.62
Foreign Exchange Effects,-0.01,-0.00,-0.01,0.00,0
Net Change in Cash,2.32,-0.84,-0.22,-0.04,1.48
