Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Jan 2017,31 Jan 2018,31 Jan 2019,31 Jan 2020,31 Jan 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,41.62,27.63,35.64,37.49
Short Term Investments,5.10,98.38,93.79,23.93,39.42
Cash and Short Term Investments,271.89,145.36,130.47,68.69,84.37
"Accounts Receivable - Trade, Net",64.39,18.09,12.14,4.69,29.91
"Total Receivables, Net",74.32,20.22,14.78,9.01,33.88
Prepaid Expenses,0.53,0.52,12.53,0.92,0.95
"Other Current Assets, Total",23.34,2.76,36.32,0.30,0.33
Total Current Assets,477.95,426.16,461.83,692.19,741.91
"Property/Plant/Equipment, Total - Gross",200.19,291.76,316.06,340.04,353.06
"Accumulated Depreciation, Total",-63.00,-63.68,-60.08,-42.69,-51.65
"Property/Plant/Equipment, Total - Net",137.19,228.07,255.97,297.34,301.41
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,535.63,502.09,494.79,521.43,503.79
Total Assets,1151.11,1156.96,1213.12,1511.94,1548.65
Accounts Payable,18.30,10.89,15.55,12.72,13.19
Accrued Expenses,1.97,4.37,3.51,5.32,7.40
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",15.97,16.14,12.09,10.13,12.14
Total Current Liabilities,43.44,157.50,137.23,90.77,80.02
Total Long Term Debt,411.24,300.31,384.24,725.32,734.70
Total Debt,418.44,426.39,490.33,787.92,782.00
Deferred Income Tax,2.16,2.86,2.82,3.07,3.08
"Other Liabilities, Total",0.00,0,0,3.13,3.13
Total Liabilities,484.21,492.88,557.90,854.93,853.11
"Common Stock, Total",161.86,161.86,161.86,161.86,161.86
Retained Earnings (Accumulated Deficit),495.23,485.48,488.05,498.12,535.77
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),7.76,16.84,7.29,1.08,-1.51
"Other Equity, Total",2.03,-0.10,-1.98,-4.05,-0.59
Total Equity,666.90,664.08,655.22,657.01,695.54
Total Liabilities & Shareholders' Equity,1151.11,1156.96,1213.12,1511.94,1548.65
Total Common Shares Outstanding,738.82,738.82,738.82,738.82,738.82
"Tangible Book Value per Share, Common Eq",0.90,0.90,0.89,0.89,0.94
