Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Jan 2017,31 Jan 2018,31 Jan 2019,31 Jan 2020,31 Jan 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,47.04,72.67,171.40,46.71,73.35
Total Revenue,47.04,72.67,171.40,46.71,73.35
"Selling/General/Admin. Expenses, Total",13.04,9.23,15.39,9.38,14.83
Depreciation/Amortisation,0.52,0.53,0.54,0.56,0.49
Unusual Expense (Income),-53.56,-4.89,-2.67,-14.54,0.35
"Other Operating Expenses, Total",-0.73,0.01,0.24,-0.10,-2.87
Total Operating Expense,-22.80,47.00,151.95,28.09,77.64
Operating Income,69.85,25.67,19.44,18.62,-4.28
"Interest Inc.(Exp.),Net-Non-Op., Total",-2.02,-2.77,2.07,-4.91,53.03
"Other, Net",0,0,0,0,0
Net Income Before Taxes,67.82,22.91,21.51,13.71,48.74
Provision for Income Taxes,4.11,3.95,2.77,1.51,0.87
Net Income After Taxes,63.72,18.96,18.75,12.20,47.87
Net Income Before Extra. Items,55.70,17.76,15.45,12.77,48.74
Net Income,55.70,17.76,15.45,12.77,48.74
Income Available to Com Excl ExtraOrd,55.70,17.76,15.45,12.77,48.74
Income Available to Com Incl ExtraOrd,55.70,17.76,15.45,12.77,48.74
Diluted Net Income,55.70,17.76,15.45,12.77,48.74
Diluted Weighted Average Shares,738.82,738.82,738.82,738.82,738.82
Diluted EPS Excluding ExtraOrd Items,0.08,0.02,0.02,0.02,0.07
DPS - Common Stock Primary Issue,0.03,0.02,0.02,0.02,0.03
Diluted Normalised EPS,0.01,0.02,0.02,0.00,0.07
