Fiscal Year,2015,2016,2018,2019,2020
Period Ended,31 Dec 2015,31 Dec 2016,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,18 Months,12 Months,12 Months
Source,ARS,Interim Report,ARS,ARS,ARS
Revenue,19.16,59.11,121.43,4.52,5.76
Total Revenue,19.16,59.11,121.43,4.52,5.76
"Selling/General/Admin. Expenses, Total",3.08,6.22,17.22,8.63,6.48
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.04,-0.17,-1.22,0,0
"Other Operating Expenses, Total",1.31,-2.69,-0.81,3.26,6.62
Total Operating Expense,24.91,36.02,82.36,14.15,22.74
Operating Income,-5.75,23.09,39.07,-9.63,-16.97
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,-12.07,-39.05
"Other, Net",0,0,0,-0.55,-1.15
Net Income Before Taxes,-5.75,23.09,39.07,-22.25,-57.18
Provision for Income Taxes,0.00,5.77,11.08,1.87,0.04
Net Income After Taxes,-5.76,17.32,28.00,-24.12,-57.21
Net Income Before Extra. Items,-4.57,7.53,11.41,-23.92,-57.21
Net Income,-4.57,7.53,8.43,-24.44,-57.21
Income Available to Com Excl ExtraOrd,-4.57,7.53,11.41,-23.92,-57.21
Income Available to Com Incl ExtraOrd,-4.57,7.53,8.43,-24.44,-57.21
Diluted Net Income,-4.57,7.53,8.43,-24.44,-57.21
Diluted Weighted Average Shares,47.27,154.84,490.49,499.66,499.66
Diluted EPS Excluding ExtraOrd Items,-0.10,0.05,0.02,-0.05,-0.11
DPS - Common Stock Primary Issue,0,0,0.00,0,0
Diluted Normalised EPS,-0.08,0.05,0.02,-0.05,-0.11
