Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,34.15,14.83,4.83,3.60,9.26
Short Term Investments,0.98,0.00,0,0,0
Cash and Short Term Investments,35.13,14.83,4.83,3.60,9.26
"Accounts Receivable - Trade, Net",31.32,43.60,30.72,52.45,34.28
"Total Receivables, Net",34.37,43.60,27.79,63.83,52.56
Prepaid Expenses,0.66,0,0.49,0.57,0.80
"Other Current Assets, Total",1.21,0.00,22.43,9.04,6.67
Total Current Assets,71.55,58.70,56.01,78.91,70.80
"Property/Plant/Equipment, Total - Gross",0,0,48.55,46.65,50.12
"Accumulated Depreciation, Total",0,0,-14.31,-16.41,-20.45
"Property/Plant/Equipment, Total - Net",16.43,29.73,34.24,30.25,29.67
"Goodwill, Net",2.66,2.66,2.66,2.66,9.20
"Intangibles, Net",2.24,4.65,2.92,2.08,2.53
Long Term Investments,1.48,6.46,6.05,9.09,7.64
Total Assets,94.35,102.19,101.88,122.98,119.83
Accounts Payable,0,0,13.07,13.24,11.33
Accrued Expenses,3.06,0,2.33,2.55,2.64
Notes Payable/Short Term Debt,0.00,5.34,9.57,23.76,27.90
"Other Current liabilities, Total",27.70,2.53,4.32,6.84,12.42
Total Current Liabilities,35.68,27.80,32.57,49.84,57.57
Total Long Term Debt,3.90,13.45,14.58,12.69,12.98
Total Debt,8.82,20.83,27.43,39.90,44.16
Deferred Income Tax,0.87,1.58,1.16,0.90,0.67
"Other Liabilities, Total",0,0.60,0,0,0
Total Liabilities,40.87,44.43,50.70,65.55,70.41
"Common Stock, Total",29.62,29.62,29.62,29.62,43.74
Retained Earnings (Accumulated Deficit),24.24,28.70,21.79,28.04,6.05
Treasury Stock - Common,-0.37,-0.56,-0.26,-0.27,-0.35
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.00,0.01,0.02,0.04,-0.02
Total Equity,53.48,57.76,51.18,57.43,49.42
Total Liabilities & Shareholders' Equity,94.35,102.19,101.88,122.98,119.83
Total Common Shares Outstanding,284.67,283.76,285.13,285.07,347.07
"Tangible Book Value per Share, Common Eq",0.17,0.18,0.16,0.18,0.11
