Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,1079.54,1100.19,821.05,358.93,231.04
Total Revenue,1079.54,1100.19,821.05,358.93,231.04
"Selling/General/Admin. Expenses, Total",208.86,183.22,235.43,211.06,130.31
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,-118.36,-227.28,24.22,0.00
"Other Operating Expenses, Total",-7.97,-6.50,-5.31,-1.23,-82.71
Total Operating Expense,853.54,526.24,326.96,863.14,265.47
Operating Income,226.00,573.95,494.09,-504.22,-34.43
"Interest Inc.(Exp.),Net-Non-Op., Total",-93.02,-136.28,-203.28,-171.28,-150.13
"Other, Net",0,0,0,0,0
Net Income Before Taxes,132.98,437.67,290.81,-675.50,-184.56
Provision for Income Taxes,43.65,86.86,42.85,-149.57,11.30
Net Income After Taxes,89.33,350.80,247.96,-525.92,-195.86
Net Income Before Extra. Items,87.67,350.24,250.56,-523.43,-187.85
Net Income,87.67,350.24,250.56,-523.43,-187.85
Income Available to Com Excl ExtraOrd,87.67,350.24,250.56,-523.43,-187.85
Income Available to Com Incl ExtraOrd,87.67,350.24,250.56,-523.43,-187.85
Diluted Net Income,87.67,350.24,250.56,-523.43,-187.85
Diluted Weighted Average Shares,2557.04,3138.80,3138.80,2557.04,2557.04
Diluted EPS Excluding ExtraOrd Items,0.03,0.11,0.08,-0.20,-0.07
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.03,0.08,0.02,-0.20,-0.07
