Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,223.13,460.42,379.06,622.70,388.15
"Accounts Receivable - Trade, Net",78.27,32.22,55.48,28.38,30.96
"Total Receivables, Net",108.00,2141.23,1776.41,661.65,662.78
Prepaid Expenses,201.79,256.67,161.85,155.86,125.39
"Other Current Assets, Total",985.16,643.47,65.99,47.67,36.74
Total Current Assets,6705.28,5644.33,3627.19,2624.82,2273.20
"Property/Plant/Equipment, Total - Gross",83.43,81.53,80.47,79.09,71.99
"Accumulated Depreciation, Total",-28.77,-33.04,-37.82,-40.55,-36.25
"Property/Plant/Equipment, Total - Net",54.66,48.49,42.65,38.53,35.75
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,5077.93,5366.74,5543.90,5031.88,4898.33
Total Assets,11865.97,11087.09,9241.27,7722.76,7234.80
Accounts Payable,542.69,393.76,320.07,157.66,101.03
Accrued Expenses,91.53,143.10,92.20,80.02,84.76
Notes Payable/Short Term Debt,0.00,0.00,343.95,174.40,163.12
"Other Current liabilities, Total",787.76,709.11,1039.24,1088.10,1247.79
Total Current Liabilities,4426.20,2338.63,2587.56,2634.56,1811.50
Total Long Term Debt,1804.56,2820.43,2157.47,1518.02,2272.89
Total Debt,4808.78,3913.09,3293.52,2826.80,2650.81
Deferred Income Tax,573.21,634.32,722.21,566.46,531.11
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,6862.61,5852.58,5482.38,4731.69,4620.15
"Common Stock, Total",4028.37,4028.37,4028.37,4028.37,4028.37
Retained Earnings (Accumulated Deficit),40.10,299.48,-1151.89,-1880.01,-2316.58
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",934.90,906.66,882.41,842.72,902.86
Total Equity,5003.37,5234.51,3758.89,2991.08,2614.65
Total Liabilities & Shareholders' Equity,11865.97,11087.09,9241.27,7722.76,7234.80
Total Common Shares Outstanding,2557.04,2557.04,2557.04,2557.04,2557.04
"Tangible Book Value per Share, Common Eq",1.96,2.05,1.47,1.17,1.02
