Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.35,-5.49,-5.03,-0.21,0.12
Depreciation/Depletion,0.92,0.86,0.73,0.80,0.72
Non-Cash Items,-0.00,2.60,5.08,-0.64,0.40
Cash Taxes Paid,0.09,0.05,-0.09,0.00,0.01
Changes in Working Capital,0.35,2.96,-0.96,0.83,-0.84
Cash from Operating Activities,1.62,0.96,-0.15,0.78,0.42
Capital Expenditures,-4.41,-0.16,-0.51,-0.00,-0.04
"Other Investing Cash Flow Items, Total",-0.33,-1.33,-0.19,-0.00,-2.34
Cash from Investing Activities,-4.74,-1.49,-0.70,-0.00,-2.38
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,2.97,0
Cash from Financing Activities,2.74,0.65,0.68,1.83,-0.33
Foreign Exchange Effects,0.01,0.05,-0.01,0.01,0.07
Net Change in Cash,-0.37,0.16,-0.18,2.61,-2.21
