Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,53.04,55.60,46.86,45.46,32.23
Total Revenue,53.04,55.60,46.86,45.46,32.23
"Selling/General/Admin. Expenses, Total",16.40,18.13,15.50,12.83,10.20
Depreciation/Amortisation,3.14,3.39,2.57,3.12,2.87
Unusual Expense (Income),-0.22,1.50,0.06,-0.06,-0.08
"Other Operating Expenses, Total",6.16,10.57,8.40,6.34,4.23
Total Operating Expense,54.20,63.94,51.85,44.66,33.74
Operating Income,-1.16,-8.34,-4.99,0.80,-1.51
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.43,-0.43,-0.54,-0.69,-0.43
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-1.59,-8.77,-5.53,0.12,-1.94
Provision for Income Taxes,-0.03,-0.04,-0.04,-0.09,0.02
Net Income After Taxes,-1.56,-8.73,-5.49,0.20,-1.96
Net Income Before Extra. Items,-1.56,-8.73,-5.49,0.20,-1.96
Net Income,-3.00,-8.73,-5.49,0.20,-1.96
Income Available to Com Excl ExtraOrd,-1.56,-8.73,-5.49,0.20,-1.96
Income Available to Com Incl ExtraOrd,-3.00,-8.73,-5.49,0.20,-1.96
Diluted Net Income,-3.00,-8.73,-5.49,0.20,-1.96
Diluted Weighted Average Shares,374.12,374.12,374.12,374.12,374.12
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.02,-0.01,0.00,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,-0.02,-0.01,0.00,-0.01
