Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,8.63,5.14,2.42,2.44,4.27
"Accounts Receivable - Trade, Net",19.95,17.22,12.81,10.79,10.94
"Total Receivables, Net",19.95,17.22,12.81,10.79,10.94
Prepaid Expenses,0,1.93,1.96,2.28,1.18
"Other Current Assets, Total",0,0,0,0,12.41
Total Current Assets,32.82,29.15,21.41,18.94,32.32
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",13.50,20.98,20.21,24.58,10.63
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",1.29,0.00,0.00,0,0
Long Term Investments,0,0,0,0,0
Total Assets,47.75,50.19,41.71,43.68,43.09
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,2.70,2.56,2.90,0.84
"Other Current liabilities, Total",0.01,0.01,0.01,0.92,2.79
Total Current Liabilities,23.41,25.87,23.23,22.32,22.47
Total Long Term Debt,0.81,1.17,1.26,2.15,5.29
Total Debt,8.57,8.36,10.18,11.23,8.77
Deferred Income Tax,0.00,2.13,1.99,2.40,0.00
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,24.23,29.16,26.49,26.87,27.76
"Common Stock, Total",21.64,21.64,21.64,21.64,21.64
Retained Earnings (Accumulated Deficit),1.89,-0.61,-6.42,-4.83,-6.31
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,23.53,21.03,15.22,16.81,15.33
Total Liabilities & Shareholders' Equity,47.75,50.19,41.71,43.68,43.09
Total Common Shares Outstanding,374.12,374.12,374.12,374.12,374.12
"Tangible Book Value per Share, Common Eq",0.06,0.06,0.04,0.04,0.04
