Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-67.73,-15.41,13.04,15.50,-20.11
Depreciation/Depletion,0.18,0.14,0.05,0.49,22.11
Non-Cash Items,52.61,4.43,-25.76,-33.44,1.85
Cash Taxes Paid,-54.25,-22.38,-7.07,-28.80,-18.78
Changes in Working Capital,45.13,21.26,8.26,21.36,19.54
Cash from Operating Activities,31.04,11.27,-3.56,4.76,24.24
Capital Expenditures,-40.34,-20.25,-35.95,-22.65,-39.36
"Other Investing Cash Flow Items, Total",1.85,0.26,5.95,41.50,13.76
Cash from Investing Activities,-38.50,-19.99,-29.99,18.85,-25.59
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,6.92,0.55
Cash from Financing Activities,-16.99,-14.32,27.60,-7.63,0.62
Foreign Exchange Effects,4.23,1.51,-0.45,0.65,-0.82
Net Change in Cash,-20.21,-21.54,-6.40,16.63,-1.56
