Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.35,0.36,0.41,0.14,46.66
Total Revenue,0.35,0.36,0.41,0.14,46.66
"Selling/General/Admin. Expenses, Total",15.31,10.42,9.67,16.30,14.44
Depreciation/Amortisation,0.85,0.85,0.85,0.85,0.85
Unusual Expense (Income),3.34,0,-28.26,-30.55,0
"Other Operating Expenses, Total",-0.85,1.09,1.86,-4.21,4.72
Total Operating Expense,63.57,14.98,-13.63,-17.15,67.48
Operating Income,-63.22,-14.63,14.04,17.29,-20.82
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.34,0.60,0.55,-0.29,1.64
"Other, Net",-3.17,-1.38,-1.55,-1.50,-0.93
Net Income Before Taxes,-67.73,-15.41,13.04,15.50,-20.11
Provision for Income Taxes,-35.99,-6.48,11.01,-6.73,-4.90
Net Income After Taxes,-31.74,-8.93,2.03,22.23,-15.21
Net Income Before Extra. Items,-29.50,-8.52,1.14,19.40,-14.22
Net Income,-29.50,-8.52,1.14,19.40,-14.22
Income Available to Com Excl ExtraOrd,-29.50,-8.52,1.14,19.40,-14.22
Income Available to Com Incl ExtraOrd,-29.50,-8.52,1.14,19.40,-14.22
Diluted Net Income,-29.50,-8.52,1.14,19.40,-14.22
Diluted Weighted Average Shares,1266.69,1280.67,1288.45,1289.40,1301.68
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.01,0.00,0.02,-0.01
DPS - Common Stock Primary Issue,0.00,0,0,0,0
Diluted Normalised EPS,0.00,-0.01,-0.01,0.00,-0.01
