Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,25.69,0,4.06,0,20.38
Short Term Investments,31.21,33.57,28.93,40.00,26.21
Cash and Short Term Investments,64.45,45.27,34.23,61.93,46.58
"Accounts Receivable - Trade, Net",0.13,9.53,0.00,23.30,14.83
"Total Receivables, Net",21.67,9.53,30.83,23.30,36.18
Prepaid Expenses,0.83,0,0.33,0,0.74
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,90.14,57.61,67.70,85.23,83.50
"Property/Plant/Equipment, Total - Gross",118.48,0,169.76,0,167.54
"Accumulated Depreciation, Total",-60.10,0,-33.63,0,-58.74
"Property/Plant/Equipment, Total - Net",58.38,76.98,136.13,91.36,108.80
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",6.77,5.92,5.07,4.22,3.37
Long Term Investments,4.98,1.11,0.00,0.00,0.00
Total Assets,160.27,141.61,208.90,180.80,195.67
Accounts Payable,0.59,0,0.02,0,7.22
Accrued Expenses,2.24,0,4.36,0,14.84
Notes Payable/Short Term Debt,12.49,0.00,26.41,15.79,18.01
"Other Current liabilities, Total",0.10,0,0.00,0,0
Total Current Liabilities,15.43,3.36,30.79,23.40,40.49
Total Long Term Debt,0.00,0.00,0.00,0.89,0.57
Total Debt,12.49,0.00,26.41,17.07,19.01
Deferred Income Tax,0.58,2.36,40.95,0.49,13.17
"Other Liabilities, Total",10.82,10.74,11.33,1.63,1.21
Total Liabilities,36.99,23.07,89.91,40.09,68.16
"Common Stock, Total",254.87,255.76,256.32,257.59,257.68
Retained Earnings (Accumulated Deficit),-133.08,-137.21,-136.90,-116.87,-130.37
Treasury Stock - Common,0,0,0,0,-0.72
Unrealised Gain (Loss),0.83,0,0,0,0
"Other Equity, Total",0.65,0,-0.43,0,0.91
Total Equity,123.28,118.54,118.99,140.72,127.51
Total Liabilities & Shareholders' Equity,160.27,141.61,208.90,180.80,195.67
Total Common Shares Outstanding,1267.42,1283.31,1291.22,1300.70,1302.32
"Tangible Book Value per Share, Common Eq",0.09,0.09,0.09,0.10,0.10
