Fiscal Year,2014,2015,2016,2017,2018
Period Ended,31 Dec 2014,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018
Source,ARS,ARS,ARS,Interim Report,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,12.43,3.75,3.81,3.24,0.14
"Accounts Receivable - Trade, Net",19.63,10.94,7.58,5.90,2.22
"Total Receivables, Net",32.49,18.88,12.21,5.90,2.22
Prepaid Expenses,0.06,0.23,0.17,0.17,0.22
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,44.98,22.86,16.20,9.31,2.58
"Property/Plant/Equipment, Total - Gross",0.35,0.56,0.57,0,0
"Accumulated Depreciation, Total",-0.25,-0.33,-0.37,0,0
"Property/Plant/Equipment, Total - Net",0.10,0.23,0.20,10.16,6.31
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",14.44,24.75,41.02,26.80,0
Long Term Investments,0.00,18.99,33.98,0.21,0.19
Total Assets,59.52,68.63,93.24,46.48,9.07
Accounts Payable,2.20,10.19,2.22,0,0
Accrued Expenses,0.37,0.68,0.57,0.55,0.04
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",0.67,0.32,1.89,0,0.00
Total Current Liabilities,3.24,11.19,4.67,11.40,18.29
Total Long Term Debt,0.00,0.00,0.00,0.00,0.00
Total Debt,0.00,0.00,0.00,0.00,0.00
Deferred Income Tax,0,0,0,0,0.01
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,3.89,11.19,4.67,11.57,17.68
"Common Stock, Total",79.86,56.95,68.69,77.45,77.45
Retained Earnings (Accumulated Deficit),-46.76,-45.92,-28.77,-90.13,-133.65
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,55.63,57.43,88.57,34.92,-8.61
Total Liabilities & Shareholders' Equity,59.52,68.63,93.24,46.48,9.07
Total Common Shares Outstanding,632.08,634.38,719.30,780.25,790.25
"Tangible Book Value per Share, Common Eq",0.07,0.05,0.07,0.01,-0.01
