Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-38.13,-24.68,-66.05,-59.56,-72.31
Depreciation/Depletion,27.77,29.85,29.91,33.02,35.93
Non-Cash Items,12.59,7.57,9.19,34.21,17.15
Cash Taxes Paid,-0.02,0.09,0.02,0.59,0.61
Changes in Working Capital,37.79,13.95,5.08,21.45,50.42
Cash from Operating Activities,40.01,26.70,-21.88,29.12,31.19
Capital Expenditures,-35.21,-28.95,-32.88,-26.95,-22.91
"Other Investing Cash Flow Items, Total",3.68,3.01,18.03,12.69,3.42
Cash from Investing Activities,-31.53,-25.94,-14.85,-14.27,-19.48
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",33.26,12.11,0.00,0,0
Cash from Financing Activities,-0.67,-6.30,40.79,-19.98,-15.30
Foreign Exchange Effects,0.00,-0.17,0.00,-0.01,-0.03
Net Change in Cash,7.82,-5.72,4.07,-5.15,-3.62
