Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,321.38,306.68,161.45,196.27,92.85
Total Revenue,321.38,306.68,161.45,196.27,92.85
"Selling/General/Admin. Expenses, Total",19.35,15.86,12.73,33.92,23.30
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,-6.61
"Other Operating Expenses, Total",-0.58,0.33,1.21,1.40,1.33
Total Operating Expense,359.51,331.36,227.50,255.84,165.16
Operating Income,-38.13,-24.68,-66.05,-59.56,-72.31
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-38.13,-24.68,-66.05,-59.56,-72.31
Provision for Income Taxes,-5.34,-3.27,-11.84,-4.86,5.52
Net Income After Taxes,-32.79,-21.40,-54.21,-54.70,-77.83
Net Income Before Extra. Items,-31.64,-16.96,-51.02,-53.76,-78.00
Net Income,-31.64,-16.96,-51.02,-53.76,-78.00
Income Available to Com Excl ExtraOrd,-31.64,-16.96,-51.02,-53.76,-78.00
Income Available to Com Incl ExtraOrd,-31.64,-16.96,-51.02,-53.76,-78.00
Diluted Net Income,-31.64,-16.96,-51.02,-53.76,-78.00
Diluted Weighted Average Shares,395.92,484.99,522.60,522.60,522.60
Diluted EPS Excluding ExtraOrd Items,-0.08,-0.03,-0.10,-0.10,-0.15
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.08,-0.03,-0.10,-0.08,-0.16
