Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,10.20,14.26,9.12,5.50
Short Term Investments,0.00,0,0,0,0
Cash and Short Term Investments,15.91,10.20,14.26,9.12,5.50
"Accounts Receivable - Trade, Net",140.77,120.53,93.49,92.47,51.42
"Total Receivables, Net",148.97,124.43,98.00,99.13,57.36
Prepaid Expenses,2.97,1.57,5.65,4.37,1.89
"Other Current Assets, Total",5.34,0,0,0,0
Total Current Assets,213.56,174.76,163.27,139.74,84.52
"Property/Plant/Equipment, Total - Gross",507.34,0,0,489.37,488.03
"Accumulated Depreciation, Total",-193.13,0,0,-220.69,-236.79
"Property/Plant/Equipment, Total - Net",314.20,327.48,314.80,316.74,295.70
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,1.50,0.00,0.06,0.46,1.37
Total Assets,529.26,502.24,478.14,461.99,385.13
Accounts Payable,79.40,81.68,65.99,58.51,50.41
Accrued Expenses,5.82,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",18.14,12.07,25.50,33.74,45.75
Total Current Liabilities,161.00,171.51,140.88,202.64,214.00
Total Long Term Debt,56.42,18.63,90.68,68.60,58.50
Total Debt,114.07,96.39,140.07,178.98,176.34
Deferred Income Tax,12.81,12.77,0.92,0.00,0.07
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,229.72,197.95,224.32,262.14,263.65
"Common Stock, Total",129.64,141.45,141.45,141.45,141.45
Retained Earnings (Accumulated Deficit),173.36,169.67,118.65,64.90,-13.11
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,-0.30
"Other Equity, Total",-3.45,-6.83,-6.29,-6.49,-6.55
Total Equity,299.54,304.29,253.81,199.85,121.48
Total Liabilities & Shareholders' Equity,529.26,502.24,478.14,461.99,385.13
Total Common Shares Outstanding,475.10,522.60,522.60,522.60,522.60
"Tangible Book Value per Share, Common Eq",0.63,0.58,0.49,0.38,0.23
