Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,279.50,41.25,76.22,316.36,173.10
Total Revenue,279.50,41.25,76.22,316.36,173.10
"Selling/General/Admin. Expenses, Total",8.70,5.18,5.90,8.63,4.57
Depreciation/Amortisation,0.18,0.18,0.18,0.10,0.25
Unusual Expense (Income),0.00,3.10,0.00,0,-0.01
"Other Operating Expenses, Total",-1.14,-0.92,-0.92,-0.88,-0.99
Total Operating Expense,236.69,32.88,51.79,228.71,135.48
Operating Income,42.81,8.37,24.43,87.64,37.62
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-2.60,-7.69,-4.44,-1.55
"Other, Net",0,0.00,-0.06,-0.03,0.00
Net Income Before Taxes,42.81,5.77,16.69,83.17,36.07
Provision for Income Taxes,7.33,1.65,2.88,16.87,8.38
Net Income After Taxes,35.48,4.12,13.81,66.30,27.70
Net Income Before Extra. Items,26.27,3.31,11.15,45.37,16.56
Net Income,26.27,3.31,11.15,45.37,16.56
Income Available to Com Excl ExtraOrd,26.27,3.31,11.15,45.37,16.56
Income Available to Com Incl ExtraOrd,26.27,3.31,11.15,45.37,16.56
Diluted Net Income,26.27,3.31,11.15,45.37,16.56
Diluted Weighted Average Shares,400.99,400.99,400.99,400.99,400.99
Diluted EPS Excluding ExtraOrd Items,0.07,0.01,0.03,0.11,0.04
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.02,0.01
Diluted Normalised EPS,0.07,0.01,0.03,0.11,0.04
