Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,3.66,1.26,10.68,5.98,1.03
Short Term Investments,2.61,4.04,5.20,0.00,0.21
Cash and Short Term Investments,55.98,102.27,86.58,54.20,34.72
"Accounts Receivable - Trade, Net",36.62,26.09,14.49,143.75,208.21
"Total Receivables, Net",36.66,27.36,15.72,144.95,208.22
Prepaid Expenses,0.10,0.08,0.07,0.05,15.00
"Other Current Assets, Total",5.67,10.72,6.66,0.13,93.50
Total Current Assets,509.08,488.27,437.87,391.34,453.88
"Property/Plant/Equipment, Total - Gross",1.20,1.20,1.21,1.21,1.61
"Accumulated Depreciation, Total",-0.69,-0.87,-1.05,-1.15,-1.20
"Property/Plant/Equipment, Total - Net",0.51,0.33,0.16,0.06,0.41
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,3.34,119.26,109.79,101.33,99.33
Total Assets,513.19,607.86,547.82,492.73,553.62
Accounts Payable,2.38,13.04,6.18,12.71,6.28
Accrued Expenses,2.09,3.53,1.55,5.73,1.87
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",17.36,26.58,38.53,6.75,5.48
Total Current Liabilities,21.83,43.15,46.26,109.70,173.00
Total Long Term Debt,226.50,304.30,231.16,33.20,0.21
Total Debt,226.50,304.30,231.16,117.70,159.60
Deferred Income Tax,0.04,0.47,2.66,17.56,25.70
"Other Liabilities, Total",0.17,0.09,3.45,7.68,3.95
Total Liabilities,256.51,353.11,291.28,197.18,242.22
"Common Stock, Total",104.95,104.95,104.95,104.95,104.95
Retained Earnings (Accumulated Deficit),151.47,149.26,156.40,196.96,206.11
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0.26,1.33,1.04,0.99,0.67
"Other Equity, Total",0,-0.79,-5.85,-7.35,-0.33
Total Equity,256.68,254.75,256.54,295.55,311.40
Total Liabilities & Shareholders' Equity,513.19,607.86,547.82,492.73,553.62
Total Common Shares Outstanding,401.00,400.99,400.99,400.99,400.99
"Tangible Book Value per Share, Common Eq",0.64,0.64,0.64,0.74,0.78
