Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,42.81,5.77,16.69,83.17,36.07
Depreciation/Depletion,0.18,0.18,0.18,0.10,0.25
Non-Cash Items,-50.55,6.06,6.05,8.50,9.99
Cash Taxes Paid,0.41,10.40,0.63,0.63,1.12
Changes in Working Capital,-47.13,38.43,30.64,-14.09,-99.51
Cash from Operating Activities,-54.69,50.44,53.56,77.68,-53.19
Capital Expenditures,-0.00,-0.00,-0.01,0.00,-0.01
"Other Investing Cash Flow Items, Total",-6.77,-62.95,-1.03,6.60,-0.39
Cash from Investing Activities,-6.77,-62.96,-1.04,6.60,-0.40
Total Cash Dividends Paid,-5.01,-5.51,-4.01,-4.81,-7.42
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,84.45,67.98,-73.38,-117.92,33.65
Foreign Exchange Effects,0,0.00,-0.08,-0.06,0.25
Net Change in Cash,22.99,55.46,-20.93,-33.70,-19.68
