Fiscal Year,2015,2016,2018,2019,2020
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,ARS,ARS,ARS
Revenue,75.08,80.07,105.92,122.89,139.59
Total Revenue,75.08,80.07,105.92,122.89,139.59
"Selling/General/Admin. Expenses, Total",2.73,2.86,2.42,2.93,2.13
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0,0,0,0,0
Total Operating Expense,40.92,42.65,48.60,56.29,65.58
Operating Income,34.16,37.42,57.32,66.60,74.01
"Interest Inc.(Exp.),Net-Non-Op., Total",-15.08,-13.38,5.95,23.55,-4.50
"Other, Net",0,0,-0.14,-0.11,-0.13
Net Income Before Taxes,19.08,24.04,63.12,90.03,69.37
Provision for Income Taxes,5.59,5.74,10.11,20.37,12.99
Net Income After Taxes,13.50,18.30,53.02,69.66,56.39
Net Income Before Extra. Items,13.50,18.30,53.02,69.66,56.39
Net Income,13.50,18.30,53.02,69.66,56.39
Income Available to Com Excl ExtraOrd,13.50,18.30,53.02,69.66,56.39
Income Available to Com Incl ExtraOrd,13.50,18.30,53.02,69.66,56.39
Diluted Net Income,13.50,18.30,53.02,69.66,56.39
Diluted Weighted Average Shares,665.30,665.30,688.19,843.92,939.02
Diluted EPS Excluding ExtraOrd Items,0.02,0.03,0.08,0.08,0.06
DPS - Common Stock Primary Issue,0,0,0.06,0.06,0.06
Diluted Normalised EPS,0.02,0.03,0.08,0.08,0.06
