Fiscal Year,2015,2016,2018,2019,2020
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,0,PROSPECTUS,ARS,ARS,ARS
Net Income/Starting Line,0,23.30,63.12,90.03,69.37
Depreciation/Depletion,0,0,0,0,0
Non-Cash Items,0,16.93,-5.85,-23.33,8.26
Cash Taxes Paid,0,0,0.02,0.38,1.18
Changes in Working Capital,0,-1.03,3.58,6.74,-3.03
Cash from Operating Activities,0,39.20,60.86,73.44,74.61
Capital Expenditures,0,-5.80,0,0,0
"Other Investing Cash Flow Items, Total",0,-808.61,-980.36,-179.99,-26.28
Cash from Investing Activities,0,-814.41,-980.36,-179.99,-26.28
Total Cash Dividends Paid,0,-15.27,-24.07,-60.60,-39.01
"Issuance (Retirement) of Stock, Net",0,554.76,646.38,75.61,0
Cash from Financing Activities,0,813.29,960.12,104.16,-29.23
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,0,38.07,40.61,-2.39,19.10
