Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0.42,1.64,2.47,5.39,7.11
Short Term Investments,0,0,0,0.38,0.39
Cash and Short Term Investments,0.42,1.64,2.47,5.77,7.49
"Accounts Receivable - Trade, Net",5.07,8.66,9.57,12.48,17.21
"Total Receivables, Net",5.07,8.66,9.57,12.99,17.89
Prepaid Expenses,0.19,0.33,1.08,0.70,1.69
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,11.69,16.95,23.70,35.16,48.00
"Property/Plant/Equipment, Total - Gross",0,0,0,59.61,74.86
"Accumulated Depreciation, Total",0,0,0,-24.93,-31.51
"Property/Plant/Equipment, Total - Net",19.29,18.89,24.07,34.69,43.35
"Goodwill, Net",0,0,0,1.85,1.87
"Intangibles, Net",1.56,1.38,2.08,0.19,0.17
Long Term Investments,0,0,0,0,0
Total Assets,32.54,38.77,51.35,73.61,94.40
Accounts Payable,0,0,0,3.87,6.74
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,8.32,2.61
"Other Current liabilities, Total",0.01,0.42,0.13,7.17,6.75
Total Current Liabilities,20.23,15.42,21.19,23.98,24.79
Total Long Term Debt,9.34,16.47,14.11,18.08,32.52
Total Debt,23.13,24.35,24.38,31.02,43.82
Deferred Income Tax,0.05,0.00,0.00,0,0
"Other Liabilities, Total",0.00,0.00,0.00,0.04,0.24
Total Liabilities,29.62,31.88,35.30,42.10,57.54
"Common Stock, Total",10.74,10.74,15.35,27.84,27.84
Retained Earnings (Accumulated Deficit),-6.96,-3.12,1.57,4.67,9.89
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-0.87,-0.75,-0.87,-1.01,-0.87
Total Equity,2.92,6.88,16.05,31.50,36.86
Total Liabilities & Shareholders' Equity,32.54,38.77,51.35,73.61,94.40
Total Common Shares Outstanding,8.00,8.00,186.24,234.25,234.25
"Tangible Book Value per Share, Common Eq",0.17,0.69,0.08,0.13,0.15
