Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,5.89,12.22,4.73,5.70,18.82
Short Term Investments,63.65,24.87,20.20,21.49,27.40
Cash and Short Term Investments,69.54,37.09,24.93,27.19,46.22
"Accounts Receivable - Trade, Net",90.81,25.83,41.91,38.61,46.80
"Total Receivables, Net",94.18,27.60,53.96,39.94,47.44
Prepaid Expenses,0.42,0.13,0.09,0.29,0.31
"Other Current Assets, Total",4.15,32.70,13.90,10.06,0.50
Total Current Assets,172.00,99.58,105.07,78.77,94.46
"Property/Plant/Equipment, Total - Gross",160.17,132.50,145.27,174.93,171.13
"Accumulated Depreciation, Total",-88.02,-87.48,-89.30,-95.62,-104.29
"Property/Plant/Equipment, Total - Net",72.15,45.02,55.97,79.31,66.84
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.41,0.32,0.30,0.29,0.02
Long Term Investments,13.60,0,0,0,0
Total Assets,258.15,144.92,161.35,158.37,161.32
Accounts Payable,52.58,27.90,31.50,29.50,49.13
Accrued Expenses,3.93,1.20,1.14,1.38,1.78
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",2.15,4.99,3.21,1.69,53.26
Total Current Liabilities,93.70,40.80,55.87,48.12,111.34
Total Long Term Debt,0.10,0.05,0.02,28.20,26.03
Total Debt,35.14,6.77,20.04,43.75,33.20
Deferred Income Tax,1.15,0.02,0.02,0.02,0.02
"Other Liabilities, Total",0,0,0,0.42,0.27
Total Liabilities,97.17,41.60,56.60,77.17,138.08
"Common Stock, Total",145.27,145.27,145.27,145.27,145.27
Retained Earnings (Accumulated Deficit),15.00,-42.17,-40.65,-64.36,-122.13
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0.63,0.63,0.63,0.63,0.00
"Other Equity, Total",0.08,-0.42,-0.50,-0.34,0.10
Total Equity,160.98,103.32,104.75,81.20,23.24
Total Liabilities & Shareholders' Equity,258.15,144.92,161.35,158.37,161.32
Total Common Shares Outstanding,1023.21,1023.21,1023.21,1023.21,1023.21
"Tangible Book Value per Share, Common Eq",0.16,0.10,0.10,0.08,0.02
