Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-18.39,-58.60,1.48,-23.97,-58.45
Depreciation/Depletion,12.80,10.06,9.02,10.06,9.77
Non-Cash Items,28.31,2.19,-11.64,9.76,8.47
Cash Taxes Paid,2.50,1.55,0.31,0.03,-0.02
Changes in Working Capital,8.71,45.13,-23.61,16.64,61.10
Cash from Operating Activities,31.43,-1.11,-24.74,12.50,20.90
Capital Expenditures,-1.59,-2.86,-0.45,-0.96,-0.38
"Other Investing Cash Flow Items, Total",1.64,0.15,0.20,0.75,9.74
Cash from Investing Activities,0.05,-2.71,-0.26,-0.21,9.37
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-48.54,-28.67,12.86,-10.00,-10.99
Foreign Exchange Effects,1.39,0.04,-0.02,-0.04,-0.24
Net Change in Cash,-15.68,-32.45,-12.16,2.26,19.03
