Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,204.05,33.02,115.31,97.84,84.04
Total Revenue,204.05,33.02,115.31,97.84,84.04
"Selling/General/Admin. Expenses, Total",41.64,24.17,23.21,20.01,26.03
Depreciation/Amortisation,0,0,0,1.47,4.53
Unusual Expense (Income),16.70,1.63,1.14,0.08,3.03
"Other Operating Expenses, Total",-0.64,0.50,-3.88,-0.69,-6.81
Total Operating Expense,222.44,91.30,113.48,121.27,141.71
Operating Income,-18.39,-58.28,1.84,-23.43,-57.67
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.32,-0.36,-0.54,-0.77
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-18.39,-58.60,1.48,-23.97,-58.45
Provision for Income Taxes,0.74,-0.57,-0.02,0.03,-0.02
Net Income After Taxes,-19.13,-58.03,1.50,-24.00,-58.43
Net Income Before Extra. Items,-18.99,-57.25,1.52,-23.71,-58.40
Net Income,-18.99,-57.25,1.52,-23.71,-58.40
Income Available to Com Excl ExtraOrd,-18.99,-57.25,1.52,-23.71,-58.40
Income Available to Com Incl ExtraOrd,-18.99,-57.25,1.52,-23.71,-58.40
Diluted Net Income,-18.99,-57.25,1.52,-23.71,-58.40
Diluted Weighted Average Shares,1023.21,1023.21,1023.21,1023.21,1023.21
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.06,0.00,-0.02,-0.06
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,-0.05,0.00,-0.02,-0.06
