Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,32.83,27.87,15.25,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,32.83,27.87,15.25,24.15,21.82
"Accounts Receivable - Trade, Net",35.83,40.17,53.22,95.40,62.30
"Total Receivables, Net",103.43,56.87,70.18,95.40,62.30
Prepaid Expenses,0.76,3.70,0.81,0,0
"Other Current Assets, Total",1.41,10.94,0.58,2.57,2.33
Total Current Assets,138.43,99.38,86.81,123.95,94.06
"Property/Plant/Equipment, Total - Gross",33.25,63.08,112.92,0,0
"Accumulated Depreciation, Total",-9.78,-8.72,-11.03,0,0
"Property/Plant/Equipment, Total - Net",23.47,54.36,101.89,133.21,141.01
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.18,0.46,0.33,0.52,0.33
Long Term Investments,2.78,0.94,0.53,0.04,0.02
Total Assets,215.32,191.11,231.62,269.13,248.06
Accounts Payable,71.97,27.53,31.05,0,0
Accrued Expenses,18.58,21.21,32.92,0,0
Notes Payable/Short Term Debt,0.00,2.67,1.55,0.00,0.00
"Other Current liabilities, Total",25.28,47.95,33.97,2.21,6.52
Total Current Liabilities,115.84,107.93,149.50,135.04,131.13
Total Long Term Debt,0.00,0.00,0.00,44.89,55.67
Total Debt,0.00,11.24,51.55,73.62,84.69
Deferred Income Tax,1.39,0.00,0.00,0,0
"Other Liabilities, Total",0,1.25,3.18,7.46,8.43
Total Liabilities,117.23,109.18,152.68,187.39,195.23
"Common Stock, Total",58.80,59.60,59.60,71.55,71.55
Retained Earnings (Accumulated Deficit),39.18,22.74,19.50,10.36,-18.31
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.12,-0.41,-0.15,-0.16,-0.41
Total Equity,98.09,81.93,78.94,81.75,52.83
Total Liabilities & Shareholders' Equity,215.32,191.11,231.62,269.13,248.06
Total Common Shares Outstanding,669.49,672.99,672.99,841.24,841.24
"Tangible Book Value per Share, Common Eq",0.15,0.12,0.12,0.10,0.06
