Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,11.88,-5.97,-3.28,-9.14,-28.67
Depreciation/Depletion,2.56,2.41,3.41,7.96,9.82
Non-Cash Items,4.19,-1.13,2.55,3.01,2.81
Cash Taxes Paid,2.14,2.22,0.55,0.42,0.22
Changes in Working Capital,21.69,34.02,-3.70,-9.00,23.59
Cash from Operating Activities,40.38,29.41,-0.90,-6.98,7.77
Capital Expenditures,-10.02,-34.38,-37.89,-9.68,-17.10
"Other Investing Cash Flow Items, Total",0.94,-2.54,-9.25,5.02,0.24
Cash from Investing Activities,-9.08,-36.91,-47.14,-4.66,-16.86
Total Cash Dividends Paid,-13.39,-8.41,0.00,0,0
"Issuance (Retirement) of Stock, Net",0.00,0.12,0.00,12.28,0.00
Cash from Financing Activities,-5.26,2.89,35.26,20.53,6.94
Foreign Exchange Effects,0.07,-0.34,0.16,0.01,-0.18
Net Change in Cash,26.11,-4.96,-12.62,8.90,-2.34
