Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,99.76,108.10,117.88,113.78,105.24
Total Revenue,99.76,108.10,117.88,113.78,105.24
"Selling/General/Admin. Expenses, Total",19.61,20.82,21.04,21.02,20.59
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.04,-1.87,-0.04,-0.01,-0.92
"Other Operating Expenses, Total",2.17,3.17,3.14,2.30,1.77
Total Operating Expense,96.12,102.89,112.52,108.91,100.17
Operating Income,3.64,5.21,5.36,4.87,5.07
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0.02,0.09,0.87
"Other, Net",0,0,0,0,0
Net Income Before Taxes,3.64,5.21,5.38,4.97,5.94
Provision for Income Taxes,1.41,1.01,1.11,0.98,0.68
Net Income After Taxes,2.23,4.20,4.27,3.98,5.26
Net Income Before Extra. Items,2.04,4.24,4.08,3.84,5.13
Net Income,2.04,4.24,4.08,3.84,5.13
Income Available to Com Excl ExtraOrd,2.04,4.24,4.08,3.84,5.13
Income Available to Com Incl ExtraOrd,2.04,4.24,4.08,3.84,5.13
Diluted Net Income,2.04,4.24,4.08,3.84,5.13
Diluted Weighted Average Shares,133.30,133.30,133.30,133.30,133.30
Diluted EPS Excluding ExtraOrd Items,0.02,0.03,0.03,0.03,0.04
DPS - Common Stock Primary Issue,0.01,0.01,0.02,0.02,0.02
Diluted Normalised EPS,0.02,0.02,0.03,0.03,0.03
