Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.00,0.00,1.46,3.81,4.32
Total Revenue,0.00,0.00,1.46,3.81,4.32
"Selling/General/Admin. Expenses, Total",0.40,1.04,1.11,1.51,1.60
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",-0.10,-0.12,1.81,-0.76,0.15
Total Operating Expense,0.30,0.92,3.77,3.00,4.23
Operating Income,-0.30,-0.92,-2.31,0.81,0.10
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,-0.02,-0.01
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-0.30,-0.92,-2.31,0.79,0.09
Provision for Income Taxes,0.00,0.00,0.02,0.02,0.07
Net Income After Taxes,-0.30,-0.92,-2.34,0.77,0.01
Net Income Before Extra. Items,-0.30,-0.92,-2.34,0.77,0.01
Net Income,4.86,-0.92,-2.34,0.77,0.01
Income Available to Com Excl ExtraOrd,-0.30,-0.92,-2.34,0.77,0.01
Income Available to Com Incl ExtraOrd,4.86,-0.92,-2.34,0.77,0.01
Diluted Net Income,4.86,-0.92,-2.34,0.77,0.01
Diluted Weighted Average Shares,126.44,126.44,131.26,142.08,138.93
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.01,-0.02,0.01,0.00
DPS - Common Stock Primary Issue,0.01,0.00,0,0,0.00
Diluted Normalised EPS,-0.00,-0.01,-0.02,0.01,0.00
