Fiscal Year,2017,2018,2019,2019.1,2020
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,35.24,12.20,8.04,9.94,62.39
Short Term Investments,0,0,0,19.69,0
Cash and Short Term Investments,75.00,109.81,108.48,99.29,101.13
"Accounts Receivable - Trade, Net",5.16,5.89,7.06,6.44,5.95
"Total Receivables, Net",31.14,23.31,32.63,36.61,71.66
Prepaid Expenses,0.49,0.40,0.40,1.36,1.09
"Other Current Assets, Total",6.31,11.28,4.18,7.31,6.07
Total Current Assets,118.06,146.12,147.06,147.15,181.69
"Property/Plant/Equipment, Total - Gross",4.38,4.36,4.55,4.54,4.65
"Accumulated Depreciation, Total",-4.14,-3.97,-4.01,-4.03,-3.70
"Property/Plant/Equipment, Total - Net",0.24,0.39,0.54,2.87,3.93
"Goodwill, Net",16.38,15.46,15.00,14.52,13.84
"Intangibles, Net",0,0,0,0,0
Long Term Investments,1471.49,1741.00,1917.80,2059.97,2064.45
Total Assets,1613.69,1918.03,2318.92,2577.37,2651.47
Accounts Payable,0.03,0.03,0.00,0.00,0.00
Accrued Expenses,12.29,20.72,27.06,28.90,25.73
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",66.10,64.30,68.89,74.94,84.44
Total Current Liabilities,81.02,220.61,319.39,283.86,229.56
Total Long Term Debt,450.43,376.91,500.83,563.98,697.67
Total Debt,453.03,512.48,724.28,744.00,817.06
Deferred Income Tax,196.32,249.91,299.41,341.86,356.24
"Other Liabilities, Total",68.73,67.03,62.53,54.80,44.59
Total Liabilities,859.56,983.71,1261.89,1332.58,1415.32
"Common Stock, Total",714.71,818.80,825.28,978.32,985.45
Retained Earnings (Accumulated Deficit),389.57,504.24,650.40,728.48,798.62
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-350.16,-388.72,-418.65,-462.01,-547.92
Total Equity,754.13,934.32,1057.03,1244.80,1236.15
Total Liabilities & Shareholders' Equity,1613.69,1918.03,2318.92,2577.37,2651.47
Total Common Shares Outstanding,930.53,1032.77,1039.04,1143.27,1148.42
"Tangible Book Value per Share, Common Eq",0.79,0.89,1.00,1.08,1.06
