Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,PRESS,PRESS
Revenue,1.19,0.35,0.00,0.03,0.00
Total Revenue,1.19,0.35,0.00,0.03,0.00
"Selling/General/Admin. Expenses, Total",0.58,0.61,0.61,0.52,0.43
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0.01,-0.00,0.28,0.00,0.00
Total Operating Expense,0.69,0.73,0.92,0.52,0.43
Operating Income,0.50,-0.38,-0.92,-0.49,-0.43
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0.00,0
Net Income Before Taxes,0.50,-0.38,-0.92,-0.49,-0.43
Provision for Income Taxes,0.05,-0.35,0.04,0.00,0.00
Net Income After Taxes,0.45,-0.03,-0.97,-0.49,-0.43
Net Income Before Extra. Items,0.45,-0.03,-0.97,-0.49,-0.43
Net Income,0.45,-0.03,-0.97,-0.49,-0.43
Income Available to Com Excl ExtraOrd,0.45,-0.03,-0.97,-0.49,-0.43
Income Available to Com Incl ExtraOrd,0.45,-0.03,-0.97,-0.49,-0.43
Diluted Net Income,0.45,-0.03,-0.97,-0.49,-0.43
Diluted Weighted Average Shares,4228.20,4228.20,4293.77,4354.16,4354.16
Diluted EPS Excluding ExtraOrd Items,0.00,-0.00,-0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.00,-0.00,-0.00,-0.00,-0.00
