Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,33.28,32.51,0.79,3.61,-79.91
Depreciation/Depletion,0.07,0.09,0.09,0.14,0.13
Non-Cash Items,0.44,0.49,52.36,52.39,138.27
Cash Taxes Paid,1.68,5.82,9.12,8.86,7.59
Changes in Working Capital,-2.25,14.38,-3.04,-10.73,0.78
Cash from Operating Activities,31.54,47.47,50.19,45.41,59.33
Capital Expenditures,-0.01,-0.06,-0.28,-0.07,-0.10
"Other Investing Cash Flow Items, Total",1.29,-520.20,11.62,-122.70,-103.83
Cash from Investing Activities,1.28,-520.27,11.34,-122.78,-103.92
Total Cash Dividends Paid,0,-7.44,-20.94,-25.66,-17.33
"Issuance (Retirement) of Stock, Net",13.72,146.42,0.00,68.85,94.00
Cash from Financing Activities,-16.17,476.02,-34.91,117.34,56.35
Foreign Exchange Effects,-0.11,0.43,-1.84,-1.74,3.82
Net Change in Cash,16.55,3.66,24.78,38.23,15.58
